volume,quoteVolume,high,low,date,close,weightedAverage,open
20902.24577402,8.07350026,2591.54564916,2587.05608579,1499385600,2589.99425514,2588.99425291,2587.05608579
52069.9610286,20.0895094,2594.81427064,2587.22000003,1499385900,2594.60000301,2591.89808928,2589.99425514
20321.80478271,7.82820162,2597.78919773,2594.74627609,1499386200,2596.40793176,2595.97360532,2594.74627609
12759.71832624,4.91289267,2597.7891977,2596.40793175,1499386500,2597.78919769,2597.19053179,2596.50000001
18985.54497668,7.31030488,2597.7891977,2596.4,1499386800,2597.7891977,2597.09345756,2597.00000001
27693.91591772,10.66060172,2597.95911942,2596.2919668,1499387100,2596.5296364,2597.78168672,2597.89
32800.44550238,12.63346555,2598.23,2596,1499387400,2596,2596.31416039,2596.5296364
23436.65891102,9.02742881,2598.029989,2596,1499387700,2598,2596.1610337,2596.00911938
37576.67875236,14.4639275,2599.3,2596,1499388000,2596.000006,2597.95817922,2596.00000001
37127.69684066,14.2976995,2599.3,2596,1499388300,2599.22233299,2596.76018793,2596.00000601
10898.63389933,4.19429483,2599.59147639,2596.00000001,1499388600,2598.06310065,2598.44248939,2599.22233299
7535.74688402,2.90051113,2599.59147639,2598.06310065,1499388900,2598.06310066,2598.07549299,2598.06310066
17698.50581165,6.80987625,2599.81347213,2598.06310066,1499389200,2599,2598.94675937,2598.06310066
132858.2861148,51.12597638,2599.81347213,2596.00000002,1499389500,2598.23028316,2598.64545426,2599
54933.15870072,21.16677085,2598.23028313,2584.98572908,1499389800,2584.99999999,2595.25456622,2596.55339746
101366.19136034,39.27352743,2585.28452641,2576.91,1499390100,2577,2581.03098941,2584.99999999
68390.66253693,26.53381725,2579.7737,2576.5726016,1499390400,2579.7737,2577.49052435,2577
17716.09471283,6.85758844,2588.59566595,2579.7737,1499390700,2582.29982363,2583.42927223,2579.7737
20338.61117757,7.86357603,2588.15596231,2581.99173238,1499391000,2586.54922333,2586.43282648,2586.49
9434.19223136,3.65405097,2586.54922325,2580.11886047,1499391300,2582.11886047,2581.84472762,2586.54922325
14452.17911395,5.59786953,2582.11886048,2578.28917951,1499391600,2582.11886048,2581.72846589,2580.36167936
31515.26355875,12.22327162,2582.11886048,2576.54636054,1499391900,2579.99999999,2578.30019151,2582.101
11826.06087397,4.58271891,2582.11886047,2579.9686054,1499392200,2581.90860493,2580.57740529,2579.99999999
26459.34064079,10.26480162,2581,2575.71144861,1499392500,2577.86176002,2577.67676573,2581
13730.50518296,5.3234581,2581.7157983,2575.71144861,1499392800,2581.63561361,2579.24546883,2579.99999989
29654.31228194,11.48222632,2583.14444175,2577.87172791,1499393100,2583.14444139,2582.62739781,2581.63561361
19032.14253025,7.37231503,2583.14444202,2577.66921594,1499393400,2583.12,2581.56935139,2583.14444139
43252.21003553,16.7671188,2583.11999999,2577.66921593,1499393700,2583.11999984,2579.58511247,2583.11999997
49583.94822312,19.25209901,2580.24096361,2572.00000001,1499394000,2578.5243246,2575.50868595,2577.66921616
36535.90394368,14.18173635,2578.00000001,2574.50000001,1499394300,2576,2576.26450259,2574.50000001
16498.78950795,6.40371747,2578.52432411,2574.50000001,1499394600,2574.5713316,2576.43932375,2576.7637916
89544.32926524,34.74404553,2581.57617431,2572.74092937,1499394900,2574.50000004,2577.25684788,2574.5713316
4309.98186397,1.67180715,2579.8896808,2574.50000014,1499395200,2576.18377296,2578.03770248,2579.88968079
47917.61439962,18.58652157,2581.57617432,2574.64972921,1499395500,2576.2176912,2578.08402821,2579.88968
